codigo;municipio;casos;obitos
521800;PORANGATU;1090;38
521805;PORTEIRAO;601;2
521810;PORTELANDIA;229;2
521830;POSSE;603;10
521839;PROFESSOR JAMIL;91;5
521850;QUIRINOPOLIS;1431;25
521860;RIALMA;516;11
521870;RIANAPOLIS;194;2
521878;RIO QUENTE;76;
521880;RIO VERDE;13139;310
521890;RUBIATABA;341;11
521900;SANCLERLANDIA;186;9
521910;SANTA BARBARA DE GOIAS;353;6
521920;SANTA CRUZ DE GOIAS;64;1
521925;SANTA FE DE GOIAS;108;
521930;SANTA HELENA DE GOIAS;3040;91
521935;SANTA ISABEL;157;4
521940;SANTA RITA DO ARAGUAIA;112;2
521945;SANTA RITA DO NOVO DESTINO;87;5
521950;SANTA ROSA DE GOIAS;43;1
521960;SANTA TEREZA DE GOIAS;34;1
521970;SANTA TEREZINHA DE GOIAS;92;4
521971;SANTO ANTONIO DA BARRA;183;4
521973;SANTO ANTONIO DE GOIAS;413;11
521975;SANTO ANTONIO DO DESCOBERTO;1236;34
521980;SAO DOMINGOS;29;
521990;SAO FRANCISCO DE GOIAS;94;3
522000;SAO JOAO D'ALIANCA;283;7
522005;SAO JOAO DA PARAUNA;10;
522010;SAO LUIS DE MONTES BELOS;1111;27
522015;SAO LUIZ DO NORTE;142;2
522020;SAO MIGUEL DO ARAGUAIA;80;12
522026;SAO MIGUEL DO PASSA QUATRO;85;2
522028;SAO PATRICIO;88;4
522040;SAO SIMAO;508;11
522045;SENADOR CANEDO;5915;112
522050;SERRANOPOLIS;227;
522060;SILVANIA;355;1
522068;SIMOLANDIA;90;1
522070;SITIO D'ABADIA;2;
522100;TAQUARAL DE GOIAS;69;2
522108;TERESINA DE GOIAS;34;
522119;TEREZOPOLIS DE GOIAS;435;6
522130;TRES RANCHOS;45;3
522140;TRINDADE;3358;149
522145;TROMBAS;31;
522150;TURVANIA;213;5
522155;TURVELANDIA;368;5
522157;UIRAPURU;10;1
522160;URUACU;1204;26
522170;URUANA;172;8
522180;URUTAI;59;1
522185;VALPARAISO DE GOIAS;7112;125
522190;VARJAO;61;1
522200;VIANOPOLIS;202;4
522205;VICENTINOPOLIS;184;7
522220;VILA BOA;62;2
522230;VILA PROPICIO;243;2
